LOCALITY_NAME_NOV2019,LOCALITY_PID_NOV2019,CED_CODE_2018,CED_NAME_2018,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
ERSKINE PARK,NSW1454,128,McMahon,1,Acceptable,Good,0
ERSKINEVILLE,NSW1455,142,Sydney,1,Good,Good,0
ERUB ISLAND,QLD3362,318,Leichhardt,1,Good,Good,0
ERUDGERE,NSW1456,107,Calare,1,Good,Good,0
ERUDINA,SA210006242,404,Grey,1,Good,Good,0
ESCHOL PARK,NSW1458,125,Macarthur,1,Good,Good,0
ESK,NSW1459,133,Page,1,Good,Good,0
ESK,QLD998,301,Blair,1,Good,Good,0
ESKDALE,QLD999,301,Blair,1,Good,Good,0
ESKDALE,VIC875,222,Indi,1,Good,Good,0
ESMERALDA,QLD1000,317,Kennedy,1,Good,Good,0
ESMOND,VIC876,235,Nicholls,1,Good,Good,0
ESPERANCE,WA3375,511,O'Connor,1,Good,Good,0
ESSENDON,VIC877,230,Maribyrnong,1,Good,Good,0
ESSENDON FIELDS,VIC2955,230,Maribyrnong,1,Good,Good,0
ESSENDON NORTH,VIC878,230,Maribyrnong,1,Good,Good,0
ESSENDON WEST,VIC879,230,Maribyrnong,1,Good,Good,0
ESSINGTON,NSW1460,107,Calare,1,Good,Good,0
ESTELLA,NSW1461,139,Riverina,1,Good,Good,0
ETADUNNA,SA210006155,404,Grey,1,Good,Good,0
ETHELTON,SA403,405,Hindmarsh,1,Good,Good,0
ETMILYN,WA2584,503,Canning,1,Good,Good,0
ETNA CREEK,QLD1001,305,Capricornia,1,Good,Good,0
ETON,QLD1002,305,Capricornia,1,Good,Good,0
ETTALONG BEACH,NSW1462,140,Robertson,1,Good,Good,0
ETTAMOGAH,NSW1463,114,Farrer,1,Good,Good,0
ETTREMA,NSW1464,116,Gilmore,1,Good,Good,0
ETTRICK,NSW1465,133,Page,1,Good,Good,0
ETTRICK,SA404,402,Barker,1,Good,Good,0
ETTY BAY,QLD1004,317,Kennedy,1,Good,Good,0
EUABALONG,NSW1466,134,Parkes,1,Good,Good,0
EUABALONG WEST,NSW1467,134,Parkes,1,Good,Good,0
EUBENANGEE,QLD1005,317,Kennedy,1,Good,Good,0
EUBERTA,NSW1468,139,Riverina,1,Good,Good,0
EUCHAREENA,NSW1469,107,Calare,1,Good,Good,0
EUCLA,WA1734,511,O'Connor,1,Good,Good,0
EUCUMBENE,NSW1470,113,Eden-Monaro,1,Good,Good,0
EUDLO,QLD1006,310,Fisher,1,Good,Good,0
EUDUNDA,SA405,404,Grey,1,Good,Good,0
EUGENANA,TAS193,602,Braddon,1,Good,Good,0
EUGOWRA,NSW1471,107,Calare,0.842711,Good,Good,0
EUGOWRA,NSW1471,139,Riverina,0.157289,Good,Good,0
EUKEY,QLD1007,321,Maranoa,1,Good,Good,0
EULAH CREEK,NSW1472,134,Parkes,1,Good,Good,0
EULEILAH,QLD1008,311,Flynn,1,Good,Good,0
EULO,QLD1009,321,Maranoa,1,Good,Good,0
EUMAMURRIN,QLD1010,321,Maranoa,1,Good,Good,0
EUMEMMERRING,VIC880,204,Bruce,1,Acceptable,Good,0
EUMUNDI,QLD1011,309,Fairfax,1,Good,Good,0
EUMUNGERIE,NSW1474,134,Parkes,1,Good,Good,0
EUNANOREENYA,NSW1475,139,Riverina,1,Good,Good,0
EUNGAI CREEK,NSW1476,110,Cowper,1,Good,Good,0
EUNGAI RAIL,NSW1477,110,Cowper,1,Good,Good,0
EUNGELLA,NSW1478,138,Richmond,1,Good,Good,0
EUNGELLA,QLD1012,305,Capricornia,1,Good,Good,0
EUNGELLA DAM,QLD1013,305,Capricornia,1,Good,Good,0
EUNGELLA HINTERLAND,QLD1014,305,Capricornia,0.99999,Good,Good,0
EUNGELLA HINTERLAND,QLD1014,306,Dawson,1e-05,Good,Good,1
EURACK,VIC881,237,Wannon,1,Good,Good,0
EURAMO,QLD1015,317,Kennedy,1,Good,Good,0
EURARDY,WA1948,506,Durack,1,Good,Good,0
EUREKA,NSW1479,138,Richmond,1,Good,Good,0
EUREKA,QLD1016,316,Hinkler,1,Good,Good,0
EUREKA,VIC882,202,Ballarat,1,Good,Good,0
EURELIA,SA406,404,Grey,1,Good,Good,0
EURELLA,QLD1017,321,Maranoa,1,Good,Good,0
EURIMBLA,NSW1480,107,Calare,1,Good,Good,0
EURIMBULA,QLD1018,311,Flynn,1,Good,Good,0
EUROA,VIC883,222,Indi,1,Good,Good,0
EUROBIN,VIC884,222,Indi,1,Good,Good,0
EUROBODALLA,NSW1481,113,Eden-Monaro,1,Good,Good,0
EUROKA,NSW1482,110,Cowper,1,Good,Good,0
EUROLEY,NSW1483,114,Farrer,1,Good,Good,0
EUROMBAH,QLD1019,311,Flynn,0.8405797,Good,Good,0
EUROMBAH,QLD1019,321,Maranoa,0.1594203,Good,Good,0
EUROMINA,SA407,404,Grey,1,Good,Good,0
EURONG,QLD1020,329,Wide Bay,1,Good,Good,0
EURONGILLY,NSW1484,139,Riverina,1,Good,Good,0
EURUNDEREE,NSW1485,107,Calare,1,Good,Good,0
EUSTON,NSW1486,114,Farrer,1,Good,Good,0
EUTHULLA,QLD1021,321,Maranoa,1,Good,Good,0
EVA VALLEY,NT98,701,Lingiari,1,Good,Good,0
EVANDALE,SA408,410,Sturt,1,Good,Good,0
EVANDALE,TAS194,605,Lyons,1,Good,Good,0
EVANS HEAD,NSW1487,133,Page,1,Good,Good,0
EVANS LANDING,QLD1022,318,Leichhardt,1,Good,Good,0
EVANS PLAINS,NSW1488,107,Calare,1,Good,Good,0
EVANSFORD,VIC885,237,Wannon,1,Good,Good,0
EVANSLEA,QLD1023,314,Groom,1,Good,Good,0
EVANSTON,SA409,409,Spence,1,Good,Good,0
EVANSTON GARDENS,SA410,409,Spence,1,Good,Good,0
EVANSTON PARK,SA411,409,Spence,1,Good,Good,0
EVANSTON SOUTH,SA412,409,Spence,1,Good,Good,0
EVATT,ACT574,803,Fenner,1,Good,Good,0
EVELEIGH,NSW1489,142,Sydney,1,Good,Good,0
EVELYN,QLD1024,317,Kennedy,1,Good,Good,0
EVELYN DOWNS,SA210006196,404,Grey,1,Good,Good,0
EVERARD CENTRAL,SA413,404,Grey,1,Good,Good,0
EVERARD PARK,SA414,401,Adelaide,1,Good,Good,0
EVERGREEN,QLD1025,314,Groom,1,Good,Good,0
EVERSLEY,VIC886,229,Mallee,1,Good,Good,0
EVERTON,VIC887,222,Indi,1,Good,Good,0
EVERTON HILLS,QLD1026,307,Dickson,1,Good,Good,0
EVERTON HILLS,QLD1026,328,Ryan,0,Good,Good,1
EVERTON PARK,QLD1027,319,Lilley,1,Good,Good,0
EVERTON UPPER,VIC888,222,Indi,1,Good,Good,0
EVIRON,NSW1490,138,Richmond,1,Good,Good,0
EVORA,QLD1028,321,Maranoa,1,Good,Good,0
EWINGAR,NSW1491,133,Page,1,Good,Good,0
EWINGSDALE,NSW1492,138,Richmond,1,Good,Good,0
EWLYAMARTUP,WA2124,511,O'Connor,1,Good,Good,0
EXETER,NSW1493,120,Hume,0.9208879,Good,Good,0
EXETER,NSW1493,147,Whitlam,0.0791121,Good,Good,0
EXETER,SA415,405,Hindmarsh,1,Good,Good,0
EXETER,TAS195,601,Bass,1,Good,Good,0
EXFORD,VIC889,218,Gorton,1,Good,Good,0
EXMOUTH,WA2757,506,Durack,1,Good,Good,0
EXMOUTH GULF,WA1825,506,Durack,1,Good,Good,0
EXTON,TAS196,605,Lyons,1,Good,Good,0
EYNESBURY,VIC890,218,Gorton,1,Good,Good,0
EYNESBURY,VIC890,227,Lalor,0,Good,Good,1
EYRE,SA210006285,409,Spence,1,Good,Good,0
FADDEN,ACT605,801,Bean,1,Good,Good,0
FAILFORD,NSW1494,124,Lyne,1,Good,Good,0
FAIRBANK,VIC891,234,Monash,1,Good,Good,0
FAIRBRIDGE,WA2586,503,Canning,1,Good,Good,0
FAIRDALE,QLD1029,311,Flynn,1,Good,Good,0
FAIRFIELD,NSW1495,115,Fowler,0.0221179,Good,Good,0
FAIRFIELD,NSW1495,128,McMahon,0.9778821,Acceptable,Good,0
FAIRFIELD,QLD1030,324,Moreton,1,Good,Good,0
FAIRFIELD,VIC892,208,Cooper,1,Good,Good,0
FAIRFIELD EAST,NSW1496,115,Fowler,1,Good,Good,0
FAIRFIELD HEIGHTS,NSW1497,128,McMahon,1,Acceptable,Good,0
FAIRFIELD WEST,NSW1498,115,Fowler,0.1219976,Good,Good,0
FAIRFIELD WEST,NSW1498,128,McMahon,0.8780024,Acceptable,Good,0
FAIRHAVEN,VIC893,209,Corangamite,1,Good,Good,0
FAIRHOLME,NSW1499,134,Parkes,1,Good,Good,0
FAIRLEY,VIC894,229,Mallee,1,Good,Good,0
FAIRLIGHT,NSW1500,143,Warringah,1,Acceptable,Good,0
FAIRNEY VIEW,QLD1031,301,Blair,1,Good,Good,0
FAIRVIEW PARK,SA416,407,Makin,1,Good,Good,0
FAIRY BOWER,QLD1032,305,Capricornia,1,Good,Good,0
FAIRY DELL,VIC2971,235,Nicholls,1,Good,Good,0
FAIRY DELL,VIC2972,216,Gippsland,1,Good,Good,0
FAIRY HILL,NSW1501,133,Page,1,Good,Good,0
FAIRY MEADOW,NSW1502,111,Cunningham,1,Good,Good,0
FAIRYLAND,QLD1033,321,Maranoa,1,Good,Good,0
FAIRYMEAD,QLD1034,311,Flynn,1,Good,Good,0
FALBROOK,NSW1503,121,Hunter,1,Good,Good,0
FALCON,WA2831,503,Canning,1,Good,Good,0
FALCONER,NSW1504,130,New England,1,Good,Good,0
FALLS CREEK,NSW1505,116,Gilmore,1,Good,Good,0
FALLS CREEK,VIC897,222,Indi,1,Good,Good,0
FALMOUTH,TAS197,605,Lyons,1,Good,Good,0
FALSE BAY,SA1650,404,Grey,1,Good,Good,0
FANNIE BAY,NT99,702,Solomon,1,Good,Good,0
FAR MEADOW,NSW1506,116,Gilmore,1,Good,Good,0
FARADAY,VIC898,203,Bendigo,1,Good,Good,0
FARAWAY HILL,SA210006244,404,Grey,1,Good,Good,0
FARGUNYAH,NSW1507,139,Riverina,1,Good,Good,0
FARINA,SA417,404,Grey,1,Good,Good,0
FARINA STATION,SA210006102,404,Grey,1,Good,Good,0
FARLEIGH,QLD1035,306,Dawson,1,Good,Good,0
FARLEY,NSW1508,136,Paterson,1,Good,Good,0
FARM BEACH,SA1649,404,Grey,1,Good,Good,0
FARMBOROUGH HEIGHTS,NSW1509,111,Cunningham,1,Good,Good,0
FARNBOROUGH,QLD1036,305,Capricornia,1,Good,Good,0
FARNHAM,NSW1510,107,Calare,1,Good,Good,0
FARNSFIELD,QLD1037,316,Hinkler,1,Good,Good,0
FARRANTS HILL,NSW1511,138,Richmond,1,Good,Good,0
FARRAR,NT100,701,Lingiari,1,Good,Good,0
FARRARS CREEK,QLD1038,321,Maranoa,1,Good,Good,0
FARRELL FLAT,SA418,404,Grey,1,Good,Good,0
FARRER,ACT334,801,Bean,1,Good,Good,0
FARRINGDON,NSW1512,113,Eden-Monaro,1,Good,Good,0
FASSIFERN,NSW1513,121,Hunter,1,Good,Good,0
FASSIFERN,QLD1039,330,Wright,1,Good,Good,0
FASSIFERN VALLEY,QLD1040,330,Wright,1,Good,Good,0
FAULCONBRIDGE,NSW1514,127,Macquarie,1,Good,Good,0
FAULKLAND,NSW1515,124,Lyne,1,Good,Good,0
FAWCETT,VIC899,222,Indi,1,Good,Good,0
FAWCETTS PLAIN,NSW1516,133,Page,1,Good,Good,0
FAWKNER,VIC900,205,Calwell,0.0196707,Good,Good,0
FAWKNER,VIC900,238,Wills,0.9803293,Good,Good,0
FEDERAL,NSW1517,138,Richmond,1,Good,Good,0
FEDERAL,QLD1041,329,Wide Bay,1,Good,Good,0
FELIXSTOW,SA419,410,Sturt,1,Good,Good,0
FELTON,QLD1045,314,Groom,0.3453237,Good,Good,0
FELTON,QLD1045,321,Maranoa,0.6546763,Good,Good,0
FELTON SOUTH,QLD1046,321,Maranoa,1,Good,Good,0
FELUGA,QLD1047,317,Kennedy,1,Good,Good,0
FENNELL BAY,NSW1518,121,Hunter,1,Good,Good,0
FENTONBURY,TAS198,605,Lyons,1,Good,Good,0
FENTONS CREEK,VIC901,229,Mallee,1,Good,Good,0
FERGUSON,VIC902,209,Corangamite,1,Good,Good,0
FERGUSON,WA2486,507,Forrest,1,Good,Good,0
FERN BAY,NSW1519,136,Paterson,1,Good,Good,0
FERN GULLY,NSW1520,121,Hunter,1,Good,Good,0
FERN HILL,VIC903,202,Ballarat,0.5327097,Good,Good,0
FERN HILL,VIC903,203,Bendigo,0.4672903,Good,Good,0
FERN TREE,TAS199,603,Clark,1,Good,Good,0
FERNANCES,NSW1521,127,Macquarie,1,Good,Good,0
FERNANCES CROSSING,NSW5112,121,Hunter,1,Good,Good,0
FERNBANK,VIC904,216,Gippsland,1,Good,Good,0
FERNBANK CREEK,NSW1522,110,Cowper,1,Good,Good,0
FERNBROOK,NSW1523,110,Cowper,1,Good,Good,0
FERNDALE,VIC905,234,Monash,1,Good,Good,0
FERNDALE,WA3124,516,Tangney,1,Good,Good,0
FERNEY,QLD1048,329,Wide Bay,1,Good,Good,0
FERNHILL,NSW1524,111,Cunningham,1,Good,Good,0
FERNIHURST,VIC906,229,Mallee,1,Good,Good,0
FERNLEIGH,NSW1525,138,Richmond,1,Good,Good,0
FERNMOUNT,NSW1526,110,Cowper,1,Good,Good,0
FERNSHAW,VIC907,206,Casey,1,Good,Good,0
FERNSIDE,NSW1527,133,Page,1,Good,Good,0
FERNTREE GULLY,VIC908,201,Aston,1,Good,Good,0
FERNVALE,NSW1528,138,Richmond,1,Good,Good,0
FERNVALE,QLD1049,301,Blair,1,Good,Good,0
FERNY CREEK,VIC910,206,Casey,1,Good,Good,0
FERNY GLEN,QLD1050,330,Wright,1,Good,Good,0
FERNY GROVE,QLD1051,328,Ryan,1,Good,Good,0
FERNY HILLS,QLD1052,307,Dickson,1,Good,Good,0
FERODALE,NSW1529,136,Paterson,1,Good,Good,0
FERRYDEN PARK,SA420,401,Adelaide,1,Good,Good,0
FEYSVILLE,WA2009,511,O'Connor,1,Good,Good,0
FICKS CROSSING,QLD1053,311,Flynn,1,Good,Good,0
FIDDLETOWN,NSW1530,104,Berowra,1,Acceptable,Good,0
FIELD,SA421,402,Barker,1,Good,Good,0
FIELDING,QLD1054,317,Kennedy,1,Good,Good,0
FIELDSTONE,VIC3014,218,Gorton,1,Good,Good,0
FIERY FLAT,VIC911,229,Mallee,1,Good,Good,0
FIFIELD,NSW1531,134,Parkes,1,Good,Good,0
FIFTEEN MILE,QLD1055,330,Wright,1,Good,Good,0
FIG TREE POCKET,QLD1056,328,Ryan,1,Good,Good,0
FIGTREE,NSW1532,111,Cunningham,1,Good,Good,0
FIMISTON,WA3273,511,O'Connor,1,Good,Good,0
FINCH HATTON,QLD1057,305,Capricornia,1,Good,Good,0
FINDON,SA422,405,Hindmarsh,1,Good,Good,0
FINDON CREEK,NSW1533,133,Page,1,Good,Good,0
FINE FLOWER,NSW1534,133,Page,1,Good,Good,0
FINGAL,TAS200,605,Lyons,1,Good,Good,0
FINGAL,VIC912,213,Flinders,1,Good,Good,0
FINGAL BAY,NSW1535,136,Paterson,1,Good,Good,0
FINGAL HEAD,NSW1536,138,Richmond,1,Good,Good,0
FINKE,NT101,701,Lingiari,1,Good,Good,0
FINLAYVALE,QLD3375,318,Leichhardt,1,Good,Good,0
FINLEY,NSW1537,114,Farrer,1,Good,Good,0
FINNIE,QLD1059,314,Groom,1,Good,Good,0
FINNISS,SA423,408,Mayo,1,Good,Good,0
FINNISS VALLEY,NT102,701,Lingiari,1,Good,Good,0
FINUCANE,WA3385,506,Durack,1,Good,Good,0
FIREFLY,NSW1538,124,Lyne,1,Good,Good,0
FIRLE,SA424,410,Sturt,1,Good,Good,0
FISCHER,SA425,404,Grey,1,Good,Good,0
FISH CREEK,VIC913,234,Monash,1,Good,Good,0
FISH POINT,VIC914,229,Mallee,1,Good,Good,0
FISHER,ACT443,801,Bean,1,Good,Good,0
FISHER,QLD1060,317,Kennedy,1,Good,Good,0
FISHER,SA426,402,Barker,1,Good,Good,0
FISHERMAN BAY,SA1628,404,Grey,1,Good,Good,0
FISHERMANS BAY,NSW1540,136,Paterson,1,Good,Good,0
FISHERMANS PARADISE,NSW1541,116,Gilmore,1,Good,Good,0
FISHERMANS POCKET,QLD1061,329,Wide Bay,1,Good,Good,0
FISHERMANS REACH,NSW1542,110,Cowper,1,Good,Good,0
FISHERS HILL,NSW1543,124,Lyne,1,Good,Good,0
FISHERY FALLS,QLD1062,317,Kennedy,1,Good,Good,0
FISHING POINT,NSW1544,121,Hunter,1,Good,Good,0
FISKVILLE,VIC915,202,Ballarat,1,Good,Good,0
FITZGERALD,TAS201,605,Lyons,1,Good,Good,0
FITZGERALD,WA3356,511,O'Connor,1,Good,Good,0
FITZGERALD BAY,SA1652,404,Grey,1,Good,Good,0
FITZGERALD CREEK,QLD1063,317,Kennedy,1,Good,Good,0
FITZGERALD RIVER NATIONAL PARK,WA1883,511,O'Connor,1,Good,Good,0
FITZGERALDS MOUNT,NSW1545,107,Calare,1,Good,Good,0
FITZGERALDS VALLEY,NSW1546,107,Calare,1,Good,Good,0
FITZGIBBON,QLD1064,319,Lilley,0.0007065,Good,Good,1
FITZGIBBON,QLD1064,326,Petrie,0.9992935,Good,Good,0
FITZROY,SA428,401,Adelaide,1,Good,Good,0
FITZROY,VIC916,232,Melbourne,1,Good,Good,0
FITZROY CROSSING,WA3007,506,Durack,1,Good,Good,0
FITZROY FALLS,NSW1547,147,Whitlam,1,Good,Good,0
FITZROY ISLAND,QLD1065,317,Kennedy,1,Good,Good,0
FITZROY NORTH,VIC917,232,Melbourne,0.995204,Good,Good,0
FITZROY NORTH,VIC917,238,Wills,0.004796,Good,Good,1
FIVE DOCK,NSW1548,137,Reid,1,Good,Good,0
FIVE MILES,SA429,402,Barker,1,Good,Good,0
FIVE WAYS,NSW1549,134,Parkes,1,Good,Good,0
FLAGGY CREEK,VIC918,216,Gippsland,1,Good,Good,0
FLAGSTAFF,VIC919,229,Mallee,1,Good,Good,0
FLAGSTAFF HILL,SA430,406,Kingston,0.9891147,Good,Good,0
FLAGSTAFF HILL,SA430,408,Mayo,0.0108853,Good,Good,0
FLAGSTONE,QLD3389,330,Wright,1,Good,Good,0
FLAGSTONE CREEK,QLD1066,330,Wright,1,Good,Good,0
FLAMETREE,QLD1067,306,Dawson,1,Good,Good,0
FLAMINGO BEACH,VIC920,216,Gippsland,1,Good,Good,0
FLAT TOPS,NSW1550,124,Lyne,1,Good,Good,0
FLAXLEY,SA431,408,Mayo,1,Good,Good,0
FLAXMAN VALLEY,SA432,402,Barker,1,Good,Good,0
FLAXTON,QLD1068,309,Fairfax,1,Good,Good,0
FLEMING,NT103,701,Lingiari,1,Good,Good,0
FLEMINGTON,VIC921,230,Maribyrnong,1,Good,Good,0
FLETCHER,NSW1551,131,Newcastle,1,Good,Good,0
FLETCHER,QLD1069,321,Maranoa,1,Good,Good,0
FLETCHER CREEK,QLD1070,311,Flynn,1,Good,Good,0
FLEURBAIX,QLD1071,321,Maranoa,1,Good,Good,0
FLINDERS,NSW1552,147,Whitlam,1,Good,Good,0
FLINDERS,VIC922,213,Flinders,1,Good,Good,0
FLINDERS CHASE,SA433,408,Mayo,1,Good,Good,0
FLINDERS LAKES,QLD3390,330,Wright,1,Good,Good,0
FLINDERS PARK,SA434,401,Adelaide,0.1860848,Good,Good,0
FLINDERS PARK,SA434,405,Hindmarsh,0.8139152,Good,Good,0
FLINDERS RANGES,SA210006040,404,Grey,1,Good,Good,0
FLINDERS VIEW,QLD1072,301,Blair,1,Good,Good,0
FLINT,WA2219,512,Pearce,1,Good,Good,0
FLINTON,QLD1073,321,Maranoa,1,Good,Good,0
FLINTSTONE,TAS202,605,Lyons,1,Good,Good,0
FLORA HILL,VIC923,203,Bendigo,1,Good,Good,0
FLORAVILLE,NSW1553,141,Shortland,1,Good,Good,0
FLOREAT,WA3133,505,Curtin,1,Good,Good,0
FLORENCE BAY,QLD1074,315,Herbert,1,Good,Good,0
FLORENTINE,TAS203,605,Lyons,1,Good,Good,0
FLOREY,ACT560,803,Fenner,1,Good,Good,0
FLORINA,NT104,701,Lingiari,1,Good,Good,0
FLORINA STATION,SA210006153,404,Grey,1,Good,Good,0
FLOWERDALE,TAS204,602,Braddon,1,Good,Good,0
FLOWERDALE,VIC924,222,Indi,1,Good,Good,0
FLOWERPOT,TAS205,604,Franklin,1,Good,Good,0
FLOWERY GULLY,TAS206,601,Bass,1,Good,Good,0
FLY CREEK,NT105,701,Lingiari,1,Good,Good,0
FLYING FISH POINT,QLD1075,317,Kennedy,1,Good,Good,0
FLYING FOX,NT106,701,Lingiari,1,Good,Good,0
FLYING FOX,QLD1076,330,Wright,1,Good,Good,0
FLYNN,ACT571,803,Fenner,1,Good,Good,0
FLYNN,NT107,701,Lingiari,1,Good,Good,0
FLYNN,VIC925,216,Gippsland,1,Good,Good,0
FLYNN,WA2227,512,Pearce,1,Good,Good,0
FLYNNS CREEK,VIC926,216,Gippsland,1,Good,Good,0
FOOTSCRAY,VIC927,215,Gellibrand,0.4356994,Acceptable,Good,0
FOOTSCRAY,VIC927,230,Maribyrnong,0.5643006,Good,Good,0
FORBES,NSW1554,139,Riverina,1,Good,Good,0
FORBES,VIC928,231,McEwen,1,Good,Good,0
FORBES CREEK,NSW1555,113,Eden-Monaro,1,Good,Good,0
FORBES RIVER,NSW1556,124,Lyne,1,Good,Good,0
FORBESDALE,NSW1557,124,Lyne,1,Good,Good,0
FORCETT,TAS207,605,Lyons,1,Good,Good,0
FORDE,ACT716,803,Fenner,1,Good,Good,0
FORDS,SA435,402,Barker,1,Good,Good,0
FORDS BRIDGE,NSW1558,134,Parkes,1,Good,Good,0
FORDSDALE,QLD1077,330,Wright,1,Good,Good,0
FORDWICH,NSW1559,121,Hunter,1,Good,Good,0
FORESHORES,QLD1078,311,Flynn,1,Good,Good,0
FOREST,TAS208,602,Braddon,1,Good,Good,0
FOREST CREEK,QLD1079,318,Leichhardt,1,Good,Good,0
FOREST GLEN,NSW1560,104,Berowra,1,Acceptable,Good,0
FOREST GLEN,QLD1080,309,Fairfax,1,Good,Good,0
FOREST GROVE,NSW1561,107,Calare,1,Good,Good,0
FOREST GROVE,WA2448,507,Forrest,1,Good,Good,0
FOREST HILL,NSW1562,139,Riverina,1,Good,Good,0
FOREST HILL,QLD1081,330,Wright,1,Good,Good,0
FOREST HILL,VIC929,207,Chisholm,0.5896941,Acceptable,Good,0
FOREST HILL,VIC929,211,Deakin,0.4103059,Good,Good,0
FOREST HILL,WA2046,511,O'Connor,1,Good,Good,0
FOREST LAKE,QLD1082,325,Oxley,1,Good,Good,0
FOREST LAND,NSW1563,130,New England,1,Good,Good,0
FOREST LODGE,NSW1564,142,Sydney,1,Good,Good,0
FOREST RANGE,SA436,408,Mayo,1,Good,Good,0
FOREST REEFS,NSW1565,107,Calare,1,Good,Good,0
FOREST RIDGE,QLD1083,321,Maranoa,1,Good,Good,0
FOREST SPRINGS,QLD1084,321,Maranoa,1,Good,Good,0
FORESTDALE,QLD1085,330,Wright,1,Good,Good,0
FORESTER,TAS209,601,Bass,1,Good,Good,0
FORESTHOME,QLD1086,317,Kennedy,1,Good,Good,0
FORESTVALE,QLD1087,321,Maranoa,1,Good,Good,0
FORESTVILLE,NSW1566,126,Mackellar,0.6382273,Good,Good,0
FORESTVILLE,NSW1566,143,Warringah,0.3617727,Acceptable,Good,0
FORESTVILLE,SA437,401,Adelaide,0.8111252,Good,Good,0
FORESTVILLE,SA437,403,Boothby,0.1888748,Good,Good,0
FORGE CREEK,VIC930,216,Gippsland,1,Good,Good,0
FORK LAGOONS,QLD1088,311,Flynn,1,Good,Good,0
FORMARTIN,QLD1089,314,Groom,1,Good,Good,0
FORREST,ACT216,802,Canberra,1,Good,Good,0
FORREST,VIC931,209,Corangamite,1,Good,Good,0
FORREST,WA1735,511,O'Connor,1,Good,Good,0
FORREST BEACH,QLD1090,317,Kennedy,1,Good,Good,0
FORREST BEACH,WA2806,507,Forrest,1,Good,Good,0
FORRESTANIA,WA1796,511,O'Connor,1,Good,Good,0
FORRESTDALE,WA2857,502,Burt,1,Good,Good,0
FORRESTERS BEACH,NSW1567,112,Dobell,1,Good,Good,0
FORRESTFIELD,WA2920,509,Hasluck,1,Good,Good,0
FORRESTFIELD,WA2920,515,Swan,0,Good,Good,1
FORRESTON,SA438,408,Mayo,1,Good,Good,0
FORSAYTH,QLD1091,317,Kennedy,1,Good,Good,0
FORSTER,NSW1568,124,Lyne,1,Good,Good,0
FORSTER,SA439,402,Barker,1,Good,Good,0
FORTESCUE,TAS210,605,Lyons,1,Good,Good,0
FORTESCUE,WA1747,506,Durack,1,Good,Good,0
FORTH,TAS211,602,Braddon,1,Good,Good,0
FORTHSIDE,TAS212,602,Braddon,1,Good,Good,0
FORTIS CREEK,NSW1569,133,Page,1,Good,Good,0
FORTITUDE VALLEY,QLD1092,304,Brisbane,1,Good,Good,0
FORTY MILE,QLD1093,317,Kennedy,1,Good,Good,0
FOSSILBROOK,QLD1094,317,Kennedy,1,Good,Good,0
FOSTER,VIC932,234,Monash,1,Good,Good,0
FOSTER NORTH,VIC933,234,Monash,1,Good,Good,0
FOSTERS VALLEY,NSW1570,107,Calare,1,Good,Good,0
FOSTERTON,NSW1571,124,Lyne,1,Good,Good,0
FOSTERVILLE,VIC934,203,Bendigo,1,Good,Good,0
FOUL BAY,SA440,404,Grey,1,Good,Good,0
FOULDEN,QLD1095,306,Dawson,1,Good,Good,0
FOUNTAIN,SA441,404,Grey,1,Good,Good,0
FOUNTAINDALE,NSW1572,112,Dobell,1,Good,Good,0
FOUR CORNERS,NSW1573,114,Farrer,1,Good,Good,0
FOUR MILE CREEK,NSW1574,107,Calare,1,Good,Good,0
FOUR MILE CREEK,TAS213,605,Lyons,1,Good,Good,0
FOUR WAYS,QLD1096,317,Kennedy,1,Good,Good,0
FOWLERS BAY,SA442,404,Grey,1,Good,Good,0
FOWLERS GAP,NSW1576,134,Parkes,1,Good,Good,0
FOX,SA443,402,Barker,1,Good,Good,0
FOXDALE,QLD1097,306,Dawson,1,Good,Good,0
FOXGROUND,NSW1577,116,Gilmore,1,Good,Good,0
FOXHOW,VIC935,237,Wannon,1,Good,Good,0
FRAHNS,SA444,402,Barker,1,Good,Good,0
FRAMLINGHAM,VIC936,237,Wannon,1,Good,Good,0
FRAMLINGHAM EAST,VIC937,237,Wannon,1,Good,Good,0
FRANCES,SA445,402,Barker,1,Good,Good,0
FRANCOIS PERON NATIONAL PARK,WA2016,506,Durack,1,Good,Good,0
FRANKFIELD,QLD1098,305,Capricornia,1,Good,Good,0
FRANKFORD,TAS214,601,Bass,0.9388888,Good,Good,0
FRANKFORD,TAS214,602,Braddon,0.0611112,Good,Good,0
FRANKLAND RIVER,WA1865,511,O'Connor,1,Good,Good,0
FRANKLIN,ACT902,803,Fenner,1,Good,Good,0
FRANKLIN,TAS215,604,Franklin,1,Good,Good,0
FRANKLINFORD,VIC938,202,Ballarat,1,Good,Good,0
FRANKLYN,SA446,404,Grey,1,Good,Good,0
FRANKSTON,VIC939,212,Dunkley,1,Good,Good,0
FRANKSTON NORTH,VIC940,212,Dunkley,1,Good,Good,0
FRANKSTON SOUTH,VIC941,212,Dunkley,1,Good,Good,0
FRANKTON,SA447,402,Barker,0.1363636,Good,Good,0
FRANKTON,SA447,404,Grey,0.8636364,Good,Good,0
FRASER,ACT577,803,Fenner,1,Good,Good,0
FRASER ISLAND,QLD1099,329,Wide Bay,1,Good,Good,0
